district,population,placename,district_name,category,2014,2015,2016,2017,2018,total19,total20,total21,total22,total23,2024,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
NWD,97000,Northwest Raleigh,Northwest,Burglary,132,181,205,224,196,126,170,161,197,211,145,154,528,176,56.3,22.2,-21.8,-12,129.9,175.3,166,203.1,158.8,181.4
NWD,97000,Northwest Raleigh,Northwest,Motor Vehicle Theft,52,69,108,106,110,106,112,126,217,406,315,329,455,151.7,104.7,210.4,51.6,117,109.3,115.5,129.9,223.7,339.2,156.4
NWD,97000,Northwest Raleigh,Northwest,Murder,0,2,2,1,1,1,2,4,1,2,4,4,7,2.3,0,300,300,74,1,2.1,4.1,1,4.1,2.4
NWD,97000,Northwest Raleigh,Northwest,Other/Unknown,2244,3929,3891,3794,3611,3920,3883,4792,4935,5227,5040,5286,13610,4536.7,25.9,34.8,7.1,17,4041.2,4003.1,4940.2,5087.6,5449.5,4677
NWD,97000,Northwest Raleigh,Northwest,Robbery,28,44,44,50,35,28,37,37,40,55,35,37,114,38,42.9,32.1,-7.5,-3,28.9,38.1,38.1,41.2,38.1,39.2
NWD,97000,Northwest Raleigh,Northwest,Sexual Assault,13,11,20,40,39,44,43,52,57,49,53,59,152,50.7,29.5,34.1,3.5,16,45.4,44.3,53.6,58.8,60.8,52.3
NWD,97000,Northwest Raleigh,Northwest,Theft,793,1033,1175,1205,1175,1197,1185,1556,1569,2040,2130,2240,4310,1436.7,31.1,87.1,42.8,56,1234,1221.6,1604.1,1617.5,2309.3,1481.1
SED,84000,Southeast Raleigh,Southeast,Aggravated Assault,168,341,297,299,301,317,348,358,374,348,362,382,1080,360,18,20.5,2.1,6,377.4,414.3,426.2,445.2,454.8,428.6
SED,84000,Southeast Raleigh,Southeast,Burglary,395,588,561,639,563,449,268,322,280,349,266,283,870,290,-37.6,-37,1.1,-2,534.5,319,383.3,333.3,336.9,345.2
SED,84000,Southeast Raleigh,Southeast,Motor Vehicle Theft,148,199,201,209,186,234,249,243,300,447,588,620,792,264,28.2,165,106.7,135,278.6,296.4,289.3,357.1,738.1,314.3
SED,84000,Southeast Raleigh,Southeast,Murder,1,7,9,12,7,9,11,8,21,6,9,9,40,13.3,133.3,0,-57.1,-32,10.7,13.1,9.5,25,10.7,15.8
SED,84000,Southeast Raleigh,Southeast,Other/Unknown,5341,9644,8108,8064,8398,8543,8268,8477,9308,9581,9393,9950,26053,8684.3,9,16.5,6.9,15,10170.2,9842.9,10091.7,11081,11845.2,10338.5
SED,84000,Southeast Raleigh,Southeast,Robbery,113,188,170,145,129,138,120,136,156,112,130,134,412,137.3,13,-2.9,-14.1,-2,164.3,142.9,161.9,185.7,159.5,163.5
SED,84000,Southeast Raleigh,Southeast,Sexual Assault,15,55,53,102,96,94,99,150,109,108,111,114,358,119.3,16,21.3,4.6,-4,111.9,117.9,178.6,129.8,135.7,142
SED,84000,Southeast Raleigh,Southeast,Theft,935,1397,1239,1293,1125,1338,1179,1180,1797,1642,1612,1701,4156,1385.3,34.3,27.1,-5.3,23,1592.9,1403.6,1404.8,2139.3,2025,1649.2
SWD,98000,Southwest Raleigh,Southwest,Aggravated Assault,67,102,92,128,117,124,107,174,161,159,176,184,442,147.3,29.8,48.4,14.3,25,126.5,109.2,177.6,164.3,187.8,150.3
SWD,98000,Southwest Raleigh,Southwest,Burglary,318,381,443,427,363,279,204,215,189,235,225,242,608,202.7,-32.3,-13.3,28,19,284.7,208.2,219.4,192.9,246.9,206.8
SWD,98000,Southwest Raleigh,Southwest,Motor Vehicle Theft,99,137,136,155,130,115,187,195,177,345,431,456,559,186.3,53.9,296.5,157.6,145,117.3,190.8,199,180.6,465.3,190.1
SWD,98000,Southwest Raleigh,Southwest,Murder,2,2,2,2,2,1,3,4,1,3,0,1,8,2.7,0,0,0,-63,1,3.1,4.1,1,1,2.8
SWD,98000,Southwest Raleigh,Southwest,Other/Unknown,3037,5439,5024,5276,5936,5701,5030,5750,5962,5595,5764,6057,16742,5580.7,4.6,6.2,1.6,9,5817.3,5132.7,5867.3,6083.7,6180.6,5694.6
SWD,98000,Southwest Raleigh,Southwest,Robbery,63,68,112,81,67,75,64,81,50,46,43,45,195,65,-33.3,-40,-10,-31,76.5,65.3,82.7,51,45.9,66.3
SWD,98000,Southwest Raleigh,Southwest,Sexual Assault,17,28,33,54,54,73,57,85,83,73,63,63,225,75,13.7,-13.7,-24.1,-16,74.5,58.2,86.7,84.7,64.3,76.5
SWD,98000,Southwest Raleigh,Southwest,Theft,861,1296,1315,1286,1184,1151,1252,1247,1441,1555,1744,1826,3940,1313.3,25.2,58.6,26.7,39,1174.5,1277.6,1272.4,1470.4,1863.3,1340.1
NA,NA,NA,UNK,Aggravated Assault,0,0,0,1,0,0,0,0,1,0,3,3,1,0.3,NA,NA,200,900,NA,NA,NA,NA,NA,NA
NA,NA,NA,UNK,Burglary,0,0,0,0,0,0,0,1,0,0,0,0,1,0.3,NA,NA,NA,-100,NA,NA,NA,NA,NA,NA
NA,NA,NA,UNK,Motor Vehicle Theft,0,0,0,0,0,0,0,0,0,1,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,UNK,Murder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,UNK,Other/Unknown,99,22,15,46,27,23,17,21,27,38,52,56,65,21.7,17.4,143.5,107.4,158,NA,NA,NA,NA,NA,NA
NA,NA,NA,UNK,Robbery,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,UNK,Sexual Assault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,UNK,Theft,7,0,0,16,8,6,7,3,2,2,5,5,12,4,-66.7,-16.7,150,25,NA,NA,NA,NA,NA,NA
